BranchCode,SiteCode,FleetCode,CustomerCode,ModelCode,AssetName,SerialNumber,RegistrationCounter,ComponentCode,ModifierCode,TaskTypeCode,TaskCounterCode,StrategyTaskDescription,FrequencyValue,LifeToDateValue,PrimaryPartNumberCode,ActualPartNumberCode,SourceOfSupplyCode,StrategyUOMCode,StrategyUsageValue,LastStrategyUsageValue,StrategyDate,LastStrategyDate,SalesStatusCode,SalesLostReasonCode,SalesStatusCommentsNote,PurchaseOrderNumber
,,,,,,,217040,,,,,Trunnions Rear Axle Oscillation,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Rear Axle Oscillation Group,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Rear Differential,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Oil Cooler Axle Rear,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Oil Cooler Axle Front,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Front Differential,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Final Drive Position 4,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Final Drive Position 3,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Final Drive Position 2,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Final Drive Position 1,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Drive Shaft Cntr Bearing to Front Diff,5000.0,9436.0,,,,H,,11941.0,,,,,,
,,,,,,,217040,,,,,Drive Shaft Transmission to Cntr Bearing,5000.0,670.0,,,,H,,20707.0,,,,,,
,,,,,,,217040,,,,,Drive Shaft Transmission to Rear Diff,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Drive Shaft TC to Transmission,5000.0,4623.0,,,,H,,16754.0,,,,,,
,,,,,,,217040,,,,,Centre Bearing Drive Shaft,5000.0,9436.0,,,,H,,11941.0,,,,,,
,,,,,,,217040,,,,,Input Drive Shafts Group,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Drive Shafts Group,5000.0,21377.0,,,,H,,0.0,,,,,,
,,,,,,,217040,,,,,Oil Pump Engine,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Oil Cooler Engine,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Turbocharger RH,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Turbocharger LH,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Exhaust Mufflers,5000.0,6697.0,,,,H,,14680.0,,,,,,
,,,,,,,217040,,,,,Aftercooler Engine,5000.0,6697.0,,,,H,,14680.0,,,,,,
